POSITION,PLACE,MOISTURE_METER,DATE,TIME,PROCESS_ORDER,PRODUCT_CODE,ISS_VERSION,IPSM_VERSION,CALIBRATION_FOR,MOISTURE_MEAN,TIN_NUMBER_1,TIN_NUMBER_2,PSS4MMSID
122,T0144,02A.980+122-BU ,16.05.2022,07:17:29,102516903 ,V0M6D , , ,V0M6D ,28.2396 ,943 ,133 ,801378177 
122,T0144,02A.980+122-BU ,16.05.2022,07:20:03,102516903 ,V0M6D , , ,V0M6D ,28.6513 ,143 ,955 ,801378178 
122,T0144,02A.980+122-BU ,16.05.2022,07:25:28,102516903 ,V0M6D , , ,V0M6D ,28.8135 ,691 ,286 ,801378179 
122,T0144,02A.980+122-BU ,16.05.2022,07:29:52,102516903 ,V0M6D , , ,V0M6D ,29.0862 ,570 ,663 ,801378180 
122,T0144,02A.980+122-BU ,16.05.2022,07:35:23,102516903 ,V0M6D , , ,V0M6D ,27.8881 ,984 ,888 ,801378181 
122,T0144,02A.980+122-BU ,16.05.2022,09:14:03,102518162 ,V0DDU , , ,V0DDU ,29.7397 ,459 ,292 ,801378192 
122,T0144,02A.980+122-BU ,16.05.2022,09:17:18,102518162 ,V0DDU , , ,V0DDU ,29.2356 ,2128 ,39 ,801378193 
122,T0144,02A.980+122-BU ,16.05.2022,09:21:49,102518162 ,V0DDU , , ,V0DDU ,29.8052 ,321 ,611 ,801378194 
122,T0144,02A.980+122-BU ,16.05.2022,09:24:58,102518162 ,V0DDU , , ,V0DDU ,27.9064 ,474 ,309 ,801378195 
122,T0144,02A.980+122-BU ,16.05.2022,09:28:06,102518162 ,V0DDU , , ,V0DDU ,29.2054 ,513 ,508 ,801378196 
122,T0124,02A.980+122-FC ,16.05.2022,07:51:39,102516903 ,V0M6D , , ,V0M6D ,23.4462 ,354 ,6596 ,801378182 
122,T0124,02A.980+122-FC ,16.05.2022,07:54:20,102516903 ,V0M6D , , ,V0M6D ,23.4075 ,426 ,6556 ,801378183 
122,T0124,02A.980+122-FC ,16.05.2022,07:57:16,102516903 ,V0M6D , , ,V0M6D ,23.0988 ,74 ,73 ,801378184 
122,T0124,02A.980+122-FC ,16.05.2022,08:00:17,102516903 ,V0M6D , , ,V0M6D ,23.2929 ,2286 ,116 ,801378185 
122,T0124,02A.980+122-FC ,16.05.2022,08:01:52,102516903 ,V0M6D , , ,V0M6D ,23.2954 ,168 ,258 ,801378186 
122,T0124,02A.980+122-FC ,16.05.2022,08:06:17,102516903 ,V0M6D , , ,V0M6D ,24.4394 ,800 ,6537 ,801378187 
122,T0124,02A.980+122-FC ,16.05.2022,09:45:57,102518162 ,V0DDU , , ,V0DDU ,23.5121 ,642 ,819 ,801378197 
122,T0124,02A.980+122-FC ,16.05.2022,09:47:38,102518162 ,V0DDU , , ,V0DDU ,23.3422 ,592 ,903 ,801378198 
122,T0124,02A.980+122-FC ,16.05.2022,09:51:05,102518162 ,V0DDU , , ,V0DDU ,22.9441 ,686 ,111 ,801378199 
122,T0124,02A.980+122-FC ,16.05.2022,09:54:32,102518162 ,V0DDU , , ,V0DDU ,23.2945 ,221 ,72 ,801378200 
122,T0124,02A.980+122-FC ,16.05.2022,09:56:17,102518162 ,V0DDU , , ,V0DDU ,22.3247 ,573 ,390 ,801378201 
122,T0134,02A.980+122-OR ,16.05.2022,08:07:26,102516903 ,V0M6D , , ,V0M6D ,24.2374 ,18 ,823 ,801378188 
122,T0134,02A.980+122-OR ,16.05.2022,08:08:37,102516903 ,V0M6D , , ,V0M6D ,23.2129 ,98 ,6528 ,801378189 
122,T0134,02A.980+122-OR ,16.05.2022,08:10:07,102516903 ,V0M6D , , ,V0M6D ,23.6319 ,489 ,530 ,801378190 
122,T0134,02A.980+122-OR ,16.05.2022,08:11:39,102516903 ,V0M6D , , ,V0M6D ,24.0173 ,90 ,274 ,801378191 
122,T0134,02A.980+122-OR ,16.05.2022,10:02:18,102518162 ,V0DDU , , ,V0DDU ,24.1776 ,107 ,175 ,801378202 
122,T0134,02A.980+122-OR ,16.05.2022,10:03:17,102518162 ,V0DDU , , ,V0DDU ,24.2559 ,509 ,670 ,801378203 
122,T0134,02A.980+122-OR ,16.05.2022,10:04:42,102518162 ,V0DDU , , ,V0DDU ,24.0787 ,676 ,6559 ,801378204 
122,T0134,02A.980+122-OR ,16.05.2022,10:05:52,102518162 ,V0DDU , , ,V0DDU ,25.4438 ,657 ,6540 ,801378205 
122,T0134,02A.980+122-OR ,16.05.2022,10:07:24,102518162 ,V0DDU , , ,V0DDU ,25.4341 ,2031 ,453 ,801378206 
