POSITION,PLACE,MOISTURE_METER,DATE,TIME,PROCESS_ORDER,PRODUCT_CODE,ISS_VERSION,IPSM_VERSION,CALIBRATION_FOR,MOISTURE_MEAN,TIN_NUMBER_1,TIN_NUMBER_2,PSS4MMSID
122,T0144,02A.980+122-BU ,12.08.2022,07:28:10,102566353 ,ZJ0I3 , , ,ZJ0I3 ,19.5342 ,3 ,57 ,824446849 
122,T0144,02A.980+122-BU ,12.08.2022,07:30:20,102566353 ,ZJ0I3 , , ,ZJ0I3 ,17.4536 ,40 ,703 ,824446850 
122,T0144,02A.980+122-BU ,12.08.2022,07:31:42,102566353 ,ZJ0I3 , , ,ZJ0I3 ,17.9358 ,269 ,54 ,824446851 
122,T0144,02A.980+122-BU ,12.08.2022,07:33:26,102566353 ,ZJ0I3 , , ,ZJ0I3 ,17.649 ,6567 ,398 ,824446852 
122,T0144,02A.980+122-BU ,12.08.2022,07:35:04,102566353 ,ZJ0I3 , , ,ZJ0I3 ,17.4295 ,179 ,888 ,824446853 
122,T0144,02A.980+122-BU ,12.08.2022,07:36:33,102566353 ,ZJ0I3 , , ,ZJ0I3 ,17.6679 ,63 ,436 ,824446854 
122,T0144,02A.980+122-BU ,12.08.2022,07:38:48,102566353 ,ZJ0I3 , , ,ZJ0I3 ,17.8299 ,960 ,682 ,824446855 
122,T0144,02A.980+122-BU ,12.08.2022,07:40:02,102566353 ,ZJ0I3 , , ,ZJ0I3 ,17.8076 ,748 ,543 ,824446856 
122,T0144,02A.980+122-BU ,12.08.2022,10:56:44,102566354 ,ZJ0I3 , , ,ZJ0I3 ,25.4968 ,510 ,781 ,824446875 
122,T0144,02A.980+122-BU ,12.08.2022,10:58:33,102566354 ,ZJ0I3 , , ,ZJ0I3 ,20.2299 ,313 ,268 ,824446876 
122,T0144,02A.980+122-BU ,12.08.2022,11:00:02,102566354 ,ZJ0I3 , , ,ZJ0I3 ,18.6462 ,956 ,992 ,824446877 
122,T0144,02A.980+122-BU ,12.08.2022,11:01:24,102566354 ,ZJ0I3 , , ,ZJ0I3 ,18.0585 ,553 ,338 ,824446878 
122,T0144,02A.980+122-BU ,12.08.2022,11:02:42,102566354 ,ZJ0I3 , , ,ZJ0I3 ,17.7802 ,6548 ,347 ,824446879 
122,T0144,02A.980+122-BU ,12.08.2022,11:03:56,102566354 ,ZJ0I3 , , ,ZJ0I3 ,17.2421 ,991 ,987 ,824446880 
122,T0144,02A.980+122-BU ,12.08.2022,11:05:08,102566354 ,ZJ0I3 , , ,ZJ0I3 ,17.4774 ,505 ,353 ,824446881 
122,T0144,02A.980+122-BU ,12.08.2022,11:06:19,102566354 ,ZJ0I3 , , ,ZJ0I3 ,17.8459 ,6581 ,966 ,824446882 
122,T0144,02A.980+122-BU ,12.08.2022,11:07:40,102566354 ,ZJ0I3 , , ,ZJ0I3 ,17.7367 ,518 ,444 ,824446883 
122,T0144,02A.980+122-BU ,12.08.2022,11:09:01,102566354 ,ZJ0I3 , , ,ZJ0I3 ,17.398 ,6577 ,874 ,824446884 
122,T0144,02A.980+122-BU ,12.08.2022,11:10:26,102566354 ,ZJ0I3 , , ,ZJ0I3 ,17.2034 ,2367 ,6565 ,824446885 
122,T0144,02A.980+122-BU ,12.08.2022,11:11:54,102566354 ,ZJ0I3 , , ,ZJ0I3 ,16.783 ,2286 ,402 ,824446886 
122,T0124,02A.980+122-FC ,12.08.2022,07:41:14,102566353 ,ZJ0I3 , , ,ZJ0I3 ,17.9831 ,812 ,194 ,824446857 
122,T0124,02A.980+122-FC ,12.08.2022,07:42:34,102566353 ,ZJ0I3 , , ,ZJ0I3 ,18.0299 ,23 ,55 ,824446858 
122,T0124,02A.980+122-FC ,12.08.2022,07:43:54,102566353 ,ZJ0I3 , , ,ZJ0I3 ,17.9951 ,9 ,6529 ,824446859 
122,T0124,02A.980+122-FC ,12.08.2022,07:45:20,102566353 ,ZJ0I3 , , ,ZJ0I3 ,17.3688 ,59 ,4 ,824446860 
122,T0124,02A.980+122-FC ,12.08.2022,07:53:19,102566353 ,ZJ0I3 , , ,ZJ0I3 ,18.8446 ,6 ,96 ,824446861 
122,T0124,02A.980+122-FC ,12.08.2022,07:54:19,102566353 ,ZJ0I3 , , ,ZJ0I3 ,18.5455 ,524 ,788 ,824446862 
122,T0124,02A.980+122-FC ,12.08.2022,07:55:45,102566353 ,ZJ0I3 , , ,ZJ0I3 ,19.7584 ,24 ,2383 ,824446863 
122,T0124,02A.980+122-FC ,12.08.2022,07:57:03,102566353 ,ZJ0I3 , , ,ZJ0I3 ,20.2757 ,21 ,6527 ,824446864 
122,T0124,02A.980+122-FC ,12.08.2022,07:59:41,102566353 ,ZJ0I3 , , ,ZJ0I3 ,20.46 ,109 ,618 ,824446865 
