POSITION,PLACE,MOISTURE_METER,DATE,TIME,PROCESS_ORDER,PRODUCT_CODE,ISS_VERSION,IPSM_VERSION,CALIBRATION_FOR,MOISTURE_MEAN,TIN_NUMBER_1,TIN_NUMBER_2,PSS4MMSID
920,T0872,06.980+920-EM1 ,18.05.2022,10:09:18,102519615 ,V0N0T , , ,V0N0T ,14.9434 ,515 ,2455 ,801906945 
920,T0872,06.980+920-EM1 ,18.05.2022,10:10:23,102519615 ,V0N0T , , ,V0N0T ,15.1888 ,6597 ,455 ,801906946 
920,T0872,06.980+920-EM1 ,18.05.2022,10:11:31,102519615 ,V0N0T , , ,V0N0T ,14.8744 ,871 ,543 ,801906947 
920,T0872,06.980+920-EM1 ,18.05.2022,10:12:28,102519615 ,V0N0T , , ,V0N0T ,14.6984 ,179 ,576 ,801906948 
920,T0872,06.980+920-EM1 ,18.05.2022,10:13:37,102519615 ,V0N0T , , ,V0N0T ,14.3842 ,898 ,389 ,801906949 
020,T0874,08.990+020-EM1 ,18.05.2022,09:23:30,102518985 ,V0E3T , , ,V0E3T ,14.7015 ,23 ,797 ,801906817 
020,T0874,08.990+020-EM1 ,18.05.2022,09:34:25,102518985 ,V0E3T , , ,V0E3T ,14.65 ,887 ,884 ,801906818 
020,T0874,08.990+020-EM1 ,18.05.2022,09:54:10,102518985 ,V0E3T , , ,V0E3T ,14.8136 ,227 ,612 ,801906819 
