POSITION,PLACE,MOISTURE_METER,DATE,TIME,PROCESS_ORDER,PRODUCT_CODE,ISS_VERSION,IPSM_VERSION,CALIBRATION_FOR,MOISTURE_MEAN,TIN_NUMBER_1,TIN_NUMBER_2,PSS4MMSID
020,T0874,08.990+020-EM1 ,26.07.2022,12:32:10,102557791 ,V0Q1B , , ,V0Q1B ,13.6674 ,186 ,607 ,819994753 
020,T0874,08.990+020-EM1 ,26.07.2022,12:32:55,102557791 ,V0Q1B , , ,V0Q1B ,13.8273 ,512 ,524 ,819994754 
020,T0874,08.990+020-EM1 ,26.07.2022,12:34:34,102557791 ,V0Q1B , , ,V0Q1B ,13.6739 ,825 ,963 ,819994755 
020,T0874,08.990+020-EM1 ,26.07.2022,12:35:36,102557791 ,V0Q1B , , ,V0Q1B ,13.7277 ,954 ,410 ,819994756 
