POSITION,PLACE,MOISTURE_METER,DATE,TIME,PROCESS_ORDER,PRODUCT_CODE,ISS_VERSION,IPSM_VERSION,CALIBRATION_FOR,MOISTURE_MEAN,TIN_NUMBER_1,TIN_NUMBER_2,PSS4MMSID
920,T0872,06.980+920-EM1 ,13.06.2022,07:37:51,102525682 ,ZJ0I3 , , ,ZJ0I3 ,9.84519 ,378 ,648 ,808722689 
920,T0872,06.980+920-EM1 ,13.06.2022,07:41:30,102525682 ,ZJ0I3 , , ,ZJ0I3 ,9.38313 ,501 ,518 ,808722690 
920,T0872,06.980+920-EM1 ,13.06.2022,07:42:51,102525682 ,ZJ0I3 , , ,ZJ0I3 ,9.45907 ,382 ,267 ,808722691 
920,T0872,06.980+920-EM1 ,13.06.2022,07:45:01,102525682 ,ZJ0I3 , , ,ZJ0I3 ,9.74682 ,930 ,422 ,808722692 
920,T0872,06.980+920-EM1 ,13.06.2022,07:50:48,102525682 ,ZJ0I3 , , ,ZJ0I3 ,10.3383 ,141 ,606 ,808722693 
920,T0872,06.980+920-EM1 ,13.06.2022,08:24:58,102525682 ,ZJ0I3 , , ,ZJ0I3 ,5.9106 ,2277 ,2359 ,808722694 
920,T0872,06.980+920-EM1 ,13.06.2022,08:26:06,102525682 ,ZJ0I3 , , ,ZJ0I3 ,6.292 ,1987 ,323 ,808722695 
920,T0872,06.980+920-EM1 ,13.06.2022,08:27:42,102525682 ,ZJ0I3 , , ,ZJ0I3 ,6.51727 ,579 ,892 ,808722696 
920,T0872,06.980+920-EM1 ,13.06.2022,08:29:48,102525682 ,ZJ0I3 , , ,ZJ0I3 ,6.3009 ,817 ,694 ,808722697 
920,T0872,06.980+920-EM1 ,13.06.2022,08:32:49,102525682 ,ZJ0I3 , , ,ZJ0I3 ,5.97332 ,6511 ,565 ,808722698 
270,T0580,06.990+270-EM1 ,13.06.2022,07:31:32,102525682 ,ZJ0I3 , , ,ZJ0I3 ,11.2837 ,239 ,929 ,808722177 
270,T0580,06.990+270-EM1 ,13.06.2022,07:40:54,102525682 ,ZJ0I3 , , ,ZJ0I3 ,10.0925 ,841 ,401 ,808722178 
270,T0580,06.990+270-EM1 ,13.06.2022,07:51:51,102525682 ,ZJ0I3 , , ,ZJ0I3 ,11.2302 ,581 ,799 ,808722179 
270,T0580,06.990+270-EM1 ,13.06.2022,07:59:37,102525682 ,ZJ0I3 , , ,ZJ0I3 ,11.4048 ,887 ,418 ,808722180 
270,T0580,06.990+270-EM1 ,13.06.2022,08:04:33,102525682 ,ZJ0I3 , , ,ZJ0I3 ,11.3645 ,2383 ,228 ,808722181 
270,T0580,06.990+270-EM1 ,13.06.2022,08:21:08,102525682 ,ZJ0I3 , , ,ZJ0I3 ,6.92366 ,555 ,368 ,808722182 
270,T0580,06.990+270-EM1 ,13.06.2022,08:27:44,102525682 ,ZJ0I3 , , ,ZJ0I3 ,6.43245 ,377 ,652 ,808722183 
270,T0580,06.990+270-EM1 ,13.06.2022,08:33:10,102525682 ,ZJ0I3 , , ,ZJ0I3 ,6.40652 ,609 ,472 ,808722184 
270,T0580,06.990+270-EM1 ,13.06.2022,08:36:40,102525682 ,ZJ0I3 , , ,ZJ0I3 ,6.19646 ,295 ,901 ,808722185 
270,T0580,06.990+270-EM1 ,13.06.2022,08:41:09,102525682 ,ZJ0I3 , , ,ZJ0I3 ,6.23322 ,868 ,178 ,808722186 
020,T0874,08.990+020-EM1 ,13.06.2022,09:35:06,102525682 ,ZJ0I3 , , ,ZJ0I3 ,11.2534 ,313 ,532 ,808722561 
020,T0874,08.990+020-EM1 ,13.06.2022,09:39:30,102525682 ,ZJ0I3 , , ,ZJ0I3 ,11.273 ,241 ,980 ,808722562 
020,T0874,08.990+020-EM1 ,13.06.2022,09:40:49,102525682 ,ZJ0I3 , , ,ZJ0I3 ,11.4268 ,6559 ,574 ,808722563 
020,T0874,08.990+020-EM1 ,13.06.2022,09:42:19,102525682 ,ZJ0I3 , , ,ZJ0I3 ,11.3076 ,282 ,6597 ,808722564 
020,T0874,08.990+020-EM1 ,13.06.2022,09:43:44,102525682 ,ZJ0I3 , , ,ZJ0I3 ,11.655 ,215 ,628 ,808722565 
020,T0874,08.990+020-EM1 ,13.06.2022,09:50:22,102525682 ,ZJ0I3 , , ,ZJ0I3 ,11.5217 ,406 ,522 ,808722566 
020,T0874,08.990+020-EM1 ,13.06.2022,09:54:45,102525682 ,ZJ0I3 , , ,ZJ0I3 ,11.1897 ,683 ,339 ,808722567 
020,T0874,08.990+020-EM1 ,13.06.2022,09:56:25,102525682 ,ZJ0I3 , , ,ZJ0I3 ,11.2567 ,899 ,248 ,808722568 
020,T0874,08.990+020-EM1 ,13.06.2022,10:04:11,102525682 ,ZJ0I3 , , ,ZJ0I3 ,11.293 ,546 ,385 ,808722569 
020,T0874,08.990+020-EM1 ,13.06.2022,10:09:17,102525682 ,ZJ0I3 , , ,ZJ0I3 ,11.389 ,682 ,629 ,808722570 
