POSITION,PLACE,MOISTURE_METER,DATE,TIME,PROCESS_ORDER,PRODUCT_CODE,ISS_VERSION,IPSM_VERSION,CALIBRATION_FOR,MOISTURE_MEAN,TIN_NUMBER_1,TIN_NUMBER_2,PSS4MMSID
920,T0872,06.980+920-EM1 ,29.07.2022,12:07:40,102558012 ,ZJ0I3 , , ,ZJ0I3 ,5.75908 ,7 ,161 ,820781313 
920,T0872,06.980+920-EM1 ,29.07.2022,12:08:58,102558012 ,ZJ0I3 , , ,ZJ0I3 ,6.60411 ,148 ,42 ,820781314 
920,T0872,06.980+920-EM1 ,29.07.2022,12:10:19,102558012 ,ZJ0I3 , , ,ZJ0I3 ,7.27669 ,136 ,139 ,820781315 
920,T0872,06.980+920-EM1 ,29.07.2022,12:11:31,102558012 ,ZJ0I3 , , ,ZJ0I3 ,7.19383 ,379 ,751 ,820781316 
920,T0872,06.980+920-EM1 ,29.07.2022,12:12:57,102558012 ,ZJ0I3 , , ,ZJ0I3 ,7.22168 ,949 ,206 ,820781317 
920,T0872,06.980+920-EM1 ,29.07.2022,12:14:40,102558012 ,ZJ0I3 , , ,ZJ0I3 ,7.256 ,988 ,929 ,820781318 
920,T0872,06.980+920-EM1 ,29.07.2022,12:15:51,102558012 ,ZJ0I3 , , ,ZJ0I3 ,7.27098 ,765 ,956 ,820781319 
920,T0872,06.980+920-EM1 ,29.07.2022,12:17:12,102558012 ,ZJ0I3 , , ,ZJ0I3 ,7.23763 ,11 ,25 ,820781320 
920,T0872,06.980+920-EM1 ,29.07.2022,12:18:36,102558012 ,ZJ0I3 , , ,ZJ0I3 ,7.18348 ,1805 ,629 ,820781321 
920,T0872,06.980+920-EM1 ,29.07.2022,12:19:46,102558012 ,ZJ0I3 , , ,ZJ0I3 ,7.39622 ,599 ,219 ,820781322 
920,T0872,06.980+920-EM1 ,29.07.2022,12:20:55,102558012 ,ZJ0I3 , , ,ZJ0I3 ,7.26176 ,630 ,437 ,820781323 
920,T0872,06.980+920-EM1 ,29.07.2022,12:22:19,102558012 ,ZJ0I3 , , ,ZJ0I3 ,7.27121 ,928 ,2404 ,820781324 
920,T0872,06.980+920-EM1 ,29.07.2022,12:23:48,102558012 ,ZJ0I3 , , ,ZJ0I3 ,7.77954 ,955 ,936 ,820781325 
920,T0872,06.980+920-EM1 ,29.07.2022,12:25:35,102558012 ,ZJ0I3 , , ,ZJ0I3 ,7.41492 ,850 ,246 ,820781326 
920,T0872,06.980+920-EM1 ,29.07.2022,12:28:43,102558012 ,ZJ0I3 , , ,ZJ0I3 ,7.41039 ,399 ,564 ,820781327 
232,T0570,06.990+232-EM1 ,29.07.2022,12:03:11,102558012 ,ZJ0I3 , , ,ZJ0I3 ,17.2554 ,45 ,89 ,820780673 
232,T0570,06.990+232-EM1 ,29.07.2022,12:04:56,102558012 ,ZJ0I3 , , ,ZJ0I3 ,17.0573 ,154 ,9 ,820780674 
232,T0570,06.990+232-EM1 ,29.07.2022,12:05:57,102558012 ,ZJ0I3 , , ,ZJ0I3 ,17.0339 ,134 ,109 ,820780675 
232,T0570,06.990+232-EM1 ,29.07.2022,12:07:07,102558012 ,ZJ0I3 , , ,ZJ0I3 ,17.1903 ,165 ,14 ,820780676 
232,T0570,06.990+232-EM1 ,29.07.2022,12:08:08,102558012 ,ZJ0I3 , , ,ZJ0I3 ,17.1775 ,137 ,80 ,820780677 
232,T0570,06.990+232-EM1 ,29.07.2022,12:09:09,102558012 ,ZJ0I3 , , ,ZJ0I3 ,17.2664 ,66 ,62 ,820780678 
232,T0570,06.990+232-EM1 ,29.07.2022,12:09:52,102558012 ,ZJ0I3 , , ,ZJ0I3 ,17.2262 ,832 ,104 ,820780679 
232,T0570,06.990+232-EM1 ,29.07.2022,12:10:52,102558012 ,ZJ0I3 , , ,ZJ0I3 ,17.3414 ,4 ,63 ,820780680 
232,T0570,06.990+232-EM1 ,29.07.2022,12:11:45,102558012 ,ZJ0I3 , , ,ZJ0I3 ,17.284 ,159 ,157 ,820780681 
232,T0570,06.990+232-EM1 ,29.07.2022,12:12:31,102558012 ,ZJ0I3 , , ,ZJ0I3 ,17.2352 ,24 ,96 ,820780682 
232,T0570,06.990+232-EM1 ,29.07.2022,12:13:17,102558012 ,ZJ0I3 , , ,ZJ0I3 ,17.1351 ,105 ,118 ,820780683 
232,T0570,06.990+232-EM1 ,29.07.2022,12:14:14,102558012 ,ZJ0I3 , , ,ZJ0I3 ,17.2635 ,13 ,122 ,820780684 
232,T0570,06.990+232-EM1 ,29.07.2022,12:15:15,102558012 ,ZJ0I3 , , ,ZJ0I3 ,17.2557 ,103 ,21 ,820780685 
232,T0570,06.990+232-EM1 ,29.07.2022,12:16:10,102558012 ,ZJ0I3 , , ,ZJ0I3 ,17.2526 ,16 ,50 ,820780686 
020,T0874,08.990+020-EM1 ,29.07.2022,12:52:44,102558012 ,ZJ0I3 , , ,ZJ0I3 ,9.8638 ,876 ,748 ,820781185 
020,T0874,08.990+020-EM1 ,29.07.2022,12:53:42,102558012 ,ZJ0I3 , , ,ZJ0I3 ,9.74071 ,83 ,84 ,820781186 
020,T0874,08.990+020-EM1 ,29.07.2022,12:55:08,102558012 ,ZJ0I3 , , ,ZJ0I3 ,9.6278 ,637 ,210 ,820781187 
020,T0874,08.990+020-EM1 ,29.07.2022,12:56:38,102558012 ,ZJ0I3 , , ,ZJ0I3 ,9.62089 ,10 ,59 ,820781188 
020,T0874,08.990+020-EM1 ,29.07.2022,12:57:41,102558012 ,ZJ0I3 , , ,ZJ0I3 ,9.61814 ,44 ,81 ,820781189 
020,T0874,08.990+020-EM1 ,29.07.2022,12:59:08,102558012 ,ZJ0I3 , , ,ZJ0I3 ,9.57504 ,15 ,183 ,820781190 
020,T0874,08.990+020-EM1 ,29.07.2022,13:01:24,102558012 ,ZJ0I3 , , ,ZJ0I3 ,9.60741 ,709 ,60 ,820781191 
020,T0874,08.990+020-EM1 ,29.07.2022,13:03:42,102558012 ,ZJ0I3 , , ,ZJ0I3 ,9.56789 ,391 ,57 ,820781192 
020,T0874,08.990+020-EM1 ,29.07.2022,13:04:51,102558012 ,ZJ0I3 , , ,ZJ0I3 ,9.58247 ,48 ,3 ,820781193 
020,T0874,08.990+020-EM1 ,29.07.2022,13:06:52,102558012 ,ZJ0I3 , , ,ZJ0I3 ,9.55923 ,120 ,26 ,820781194 
020,T0874,08.990+020-EM1 ,29.07.2022,13:09:07,102558012 ,ZJ0I3 , , ,ZJ0I3 ,9.58639 ,28 ,128 ,820781195 
020,T0874,08.990+020-EM1 ,29.07.2022,13:10:16,102558012 ,ZJ0I3 , , ,ZJ0I3 ,9.61154 ,502 ,618 ,820781196 
020,T0874,08.990+020-EM1 ,29.07.2022,13:11:18,102558012 ,ZJ0I3 , , ,ZJ0I3 ,9.59683 ,575 ,912 ,820781197 
