POSITION,PLACE,MOISTURE_METER,DATE,TIME,PROCESS_ORDER,PRODUCT_CODE,ISS_VERSION,IPSM_VERSION,CALIBRATION_FOR,MOISTURE_MEAN,TIN_NUMBER_1,TIN_NUMBER_2,PSS4MMSID
122,T0144,02A.980+122-BU ,28.07.2022,07:50:46,102558008 ,ZJ0I3 , , ,ZJ0I3 ,29.637 ,925 ,518 ,820514689 
122,T0144,02A.980+122-BU ,28.07.2022,07:52:27,102558008 ,ZJ0I3 , , ,ZJ0I3 ,28.577 ,753 ,532 ,820514690 
122,T0144,02A.980+122-BU ,28.07.2022,08:49:01,102558009 ,ZJ0I3 , , ,ZJ0I3 ,30.1783 ,34 ,443 ,820514705 
122,T0144,02A.980+122-BU ,28.07.2022,10:10:01,102558010 ,ZJ0I3 , , ,ZJ0I3 ,30.0505 ,2437 ,309 ,820514718 
122,T0144,02A.980+122-BU ,28.07.2022,10:11:11,102558010 ,ZJ0I3 , , ,ZJ0I3 ,28.4837 ,198 ,615 ,820514719 
122,T0144,02A.980+122-BU ,28.07.2022,12:42:02,102558011 ,ZJ0I3 , , ,ZJ0I3 ,29.8757 ,631 ,660 ,820514731 
122,T0144,02A.980+122-BU ,28.07.2022,12:43:42,102558011 ,ZJ0I3 , , ,ZJ0I3 ,28.4004 ,6597 ,645 ,820514732 
122,T0124,02A.980+122-FC ,28.07.2022,07:53:55,102558008 ,ZJ0I3 , , ,ZJ0I3 ,28.0601 ,781 ,540 ,820514691 
122,T0124,02A.980+122-FC ,28.07.2022,07:55:22,102558008 ,ZJ0I3 , , ,ZJ0I3 ,29.6324 ,170 ,314 ,820514692 
122,T0124,02A.980+122-FC ,28.07.2022,07:56:50,102558008 ,ZJ0I3 , , ,ZJ0I3 ,28.76 ,479 ,359 ,820514693 
122,T0124,02A.980+122-FC ,28.07.2022,08:00:13,102558008 ,ZJ0I3 , , ,ZJ0I3 ,17.0037 ,373 ,961 ,820514694 
122,T0124,02A.980+122-FC ,28.07.2022,08:01:27,102558008 ,ZJ0I3 , , ,ZJ0I3 ,16.5198 ,345 ,819 ,820514695 
122,T0124,02A.980+122-FC ,28.07.2022,08:02:47,102558008 ,ZJ0I3 , , ,ZJ0I3 ,16.4024 ,670 ,694 ,820514696 
122,T0124,02A.980+122-FC ,28.07.2022,08:04:09,102558008 ,ZJ0I3 , , ,ZJ0I3 ,16.4269 ,6565 ,881 ,820514697 
122,T0124,02A.980+122-FC ,28.07.2022,08:05:26,102558008 ,ZJ0I3 , , ,ZJ0I3 ,16.575 ,534 ,242 ,820514698 
122,T0124,02A.980+122-FC ,28.07.2022,08:06:57,102558008 ,ZJ0I3 , , ,ZJ0I3 ,16.9489 ,445 ,492 ,820514699 
122,T0124,02A.980+122-FC ,28.07.2022,08:08:26,102558008 ,ZJ0I3 , , ,ZJ0I3 ,16.2917 ,352 ,205 ,820514700 
122,T0124,02A.980+122-FC ,28.07.2022,08:10:06,102558008 ,ZJ0I3 , , ,ZJ0I3 ,16.9368 ,287 ,679 ,820514701 
122,T0124,02A.980+122-FC ,28.07.2022,08:12:10,102558008 ,ZJ0I3 , , ,ZJ0I3 ,16.8627 ,189 ,2316 ,820514702 
122,T0124,02A.980+122-FC ,28.07.2022,08:13:41,102558008 ,ZJ0I3 , , ,ZJ0I3 ,18.6648 ,351 ,321 ,820514703 
122,T0124,02A.980+122-FC ,28.07.2022,08:15:12,102558008 ,ZJ0I3 , , ,ZJ0I3 ,22.4266 ,402 ,245 ,820514704 
122,T0124,02A.980+122-FC ,28.07.2022,08:50:42,102558009 ,ZJ0I3 , , ,ZJ0I3 ,28.5073 ,643 ,443 ,820514706 
122,T0124,02A.980+122-FC ,28.07.2022,08:52:23,102558009 ,ZJ0I3 , , ,ZJ0I3 ,28.5348 ,662 ,902 ,820514707 
122,T0124,02A.980+122-FC ,28.07.2022,08:53:42,102558009 ,ZJ0I3 , , ,ZJ0I3 ,30.0611 ,662 ,902 ,820514708 
122,T0124,02A.980+122-FC ,28.07.2022,08:54:13,102558009 ,ZJ0I3 , , ,ZJ0I3 ,19.9033 ,896 ,868 ,820514709 
122,T0124,02A.980+122-FC ,28.07.2022,08:56:34,102558009 ,ZJ0I3 , , ,ZJ0I3 ,17.6329 ,2456 ,507 ,820514710 
122,T0124,02A.980+122-FC ,28.07.2022,08:57:47,102558009 ,ZJ0I3 , , ,ZJ0I3 ,17.4133 ,959 ,440 ,820514711 
122,T0124,02A.980+122-FC ,28.07.2022,08:59:11,102558009 ,ZJ0I3 , , ,ZJ0I3 ,16.3822 ,601 ,666 ,820514712 
122,T0124,02A.980+122-FC ,28.07.2022,09:00:38,102558009 ,ZJ0I3 , , ,ZJ0I3 ,16.2252 ,375 ,562 ,820514713 
122,T0124,02A.980+122-FC ,28.07.2022,09:02:27,102558009 ,ZJ0I3 , , ,ZJ0I3 ,16.0045 ,579 ,454 ,820514714 
122,T0124,02A.980+122-FC ,28.07.2022,09:04:05,102558009 ,ZJ0I3 , , ,ZJ0I3 ,15.9445 ,490 ,777 ,820514715 
122,T0124,02A.980+122-FC ,28.07.2022,09:05:42,102558009 ,ZJ0I3 , , ,ZJ0I3 ,16.264 ,1932 ,396 ,820514716 
122,T0124,02A.980+122-FC ,28.07.2022,09:07:21,102558009 ,ZJ0I3 , , ,ZJ0I3 ,16.7701 ,368 ,369 ,820514717 
122,T0124,02A.980+122-FC ,28.07.2022,10:12:35,102558010 ,ZJ0I3 , , ,ZJ0I3 ,28.2024 ,299 ,780 ,820514720 
122,T0124,02A.980+122-FC ,28.07.2022,10:14:02,102558010 ,ZJ0I3 , , ,ZJ0I3 ,28.4069 ,920 ,416 ,820514721 
122,T0124,02A.980+122-FC ,28.07.2022,10:15:43,102558010 ,ZJ0I3 , , ,ZJ0I3 ,29.3694 ,700 ,6550 ,820514722 
122,T0124,02A.980+122-FC ,28.07.2022,10:20:38,102558010 ,ZJ0I3 , , ,ZJ0I3 ,17.2007 ,347 ,6516 ,820514723 
122,T0124,02A.980+122-FC ,28.07.2022,10:22:45,102558010 ,ZJ0I3 , , ,ZJ0I3 ,16.5208 ,6581 ,790 ,820514724 
122,T0124,02A.980+122-FC ,28.07.2022,10:24:05,102558010 ,ZJ0I3 , , ,ZJ0I3 ,16.2346 ,817 ,899 ,820514725 
122,T0124,02A.980+122-FC ,28.07.2022,10:25:41,102558010 ,ZJ0I3 , , ,ZJ0I3 ,15.8271 ,427 ,549 ,820514726 
122,T0124,02A.980+122-FC ,28.07.2022,10:27:29,102558010 ,ZJ0I3 , , ,ZJ0I3 ,16.3217 ,111 ,72 ,820514727 
122,T0124,02A.980+122-FC ,28.07.2022,10:29:20,102558010 ,ZJ0I3 , , ,ZJ0I3 ,16.6981 ,583 ,188 ,820514728 
