POSITION,PLACE,MOISTURE_METER,DATE,TIME,PROCESS_ORDER,PRODUCT_CODE,ISS_VERSION,IPSM_VERSION,CALIBRATION_FOR,MOISTURE_MEAN,TIN_NUMBER_1,TIN_NUMBER_2,PSS4MMSID
020,T0874,08.990+020-EM1 ,31.05.2022,09:31:54,102523652 ,V0CN4 , , ,V0CN4 ,14.5404 ,630 ,2266 ,805314689 
020,T0874,08.990+020-EM1 ,31.05.2022,09:33:50,102523652 ,V0CN4 , , ,V0CN4 ,14.465 ,399 ,486 ,805314690 
020,T0874,08.990+020-EM1 ,31.05.2022,09:35:27,102523652 ,V0CN4 , , ,V0CN4 ,14.4662 ,331 ,199 ,805314691 
020,T0874,08.990+020-EM1 ,31.05.2022,09:36:42,102523652 ,V0CN4 , , ,V0CN4 ,14.4857 ,834 ,2052 ,805314692 
020,T0874,08.990+020-EM1 ,31.05.2022,09:38:22,102523652 ,V0CN4 , , ,V0CN4 ,14.4103 ,401 ,246 ,805314693 
020,T0874,08.990+020-EM1 ,31.05.2022,12:31:55,102523654 ,V0I0P , , ,V0I0P ,14.2238 ,648 ,178 ,805314694 
020,T0874,08.990+020-EM1 ,31.05.2022,12:43:17,102523654 ,V0I0P , , ,V0I0P ,14.1762 ,422 ,565 ,805314695 
020,T0874,08.990+020-EM1 ,31.05.2022,13:00:33,102523654 ,V0I0P , , ,V0I0P ,14.2448 ,930 ,2359 ,805314696 
020,T0874,08.990+020-EM1 ,31.05.2022,13:15:31,102523654 ,V0I0P , , ,V0I0P ,14.1904 ,378 ,892 ,805314697 
020,T0874,08.990+020-EM1 ,31.05.2022,13:41:57,102523654 ,V0I0P , , ,V0I0P ,14.2265 ,2277 ,282 ,805314698 
