POSITION,PLACE,MOISTURE_METER,DATE,TIME,PROCESS_ORDER,PRODUCT_CODE,ISS_VERSION,IPSM_VERSION,CALIBRATION_FOR,MOISTURE_MEAN,TIN_NUMBER_1,TIN_NUMBER_2,PSS4MMSID
122,T0144,02A.980+122-BU ,24.06.2022,08:08:41,102537372 ,V0DDU , , ,V0DDU ,28.7565 ,938 ,800 ,811601793 
122,T0144,02A.980+122-BU ,24.06.2022,08:11:45,102537372 ,V0DDU , , ,V0DDU ,28.815 ,391 ,928 ,811601794 
122,T0144,02A.980+122-BU ,24.06.2022,08:15:31,102537372 ,V0DDU , , ,V0DDU ,28.6925 ,866 ,932 ,811601795 
122,T0144,02A.980+122-BU ,24.06.2022,08:18:52,102537372 ,V0DDU , , ,V0DDU ,28.6073 ,902 ,652 ,811601796 
122,T0144,02A.980+122-BU ,24.06.2022,08:22:19,102537372 ,V0DDU , , ,V0DDU ,28.8968 ,270 ,512 ,811601797 
122,T0124,02A.980+122-FC ,24.06.2022,08:39:02,102537372 ,V0DDU , , ,V0DDU ,24.0865 ,919 ,996 ,811601798 
122,T0124,02A.980+122-FC ,24.06.2022,08:42:07,102537372 ,V0DDU , , ,V0DDU ,22.7076 ,407 ,538 ,811601799 
122,T0124,02A.980+122-FC ,24.06.2022,08:45:54,102537372 ,V0DDU , , ,V0DDU ,22.245 ,484 ,449 ,811601800 
122,T0124,02A.980+122-FC ,24.06.2022,08:47:54,102537372 ,V0DDU , , ,V0DDU ,21.987 ,377 ,835 ,811601801 
122,T0124,02A.980+122-FC ,24.06.2022,08:50:11,102537372 ,V0DDU , , ,V0DDU ,21.8832 ,252 ,397 ,811601802 
122,T0134,02A.980+122-OR ,24.06.2022,08:57:16,102537372 ,V0DDU , , ,V0DDU ,23.3528 ,194 ,6528 ,811601803 
122,T0134,02A.980+122-OR ,24.06.2022,08:58:29,102537372 ,V0DDU , , ,V0DDU ,23.4943 ,441 ,2208 ,811601804 
122,T0134,02A.980+122-OR ,24.06.2022,08:59:41,102537372 ,V0DDU , , ,V0DDU ,24.0052 ,2113 ,564 ,811601805 
122,T0134,02A.980+122-OR ,24.06.2022,09:00:50,102537372 ,V0DDU , , ,V0DDU ,24.5735 ,853 ,593 ,811601806 
122,T0134,02A.980+122-OR ,24.06.2022,09:02:18,102537372 ,V0DDU , , ,V0DDU ,24.5762 ,332 ,758 ,811601807 
920,T0872,06.980+920-EM1 ,24.06.2022,07:31:15,102537371 ,V0M6D , , ,V0M6D ,14.9815 ,683 ,6543 ,811606273 
